單詞,TF,DF
建設,71,58
在蘋,71,65
國碩,71,29
合組,71,32
台電,71,23
午舉,71,70
功率,71,40
創投,71,17
前波,71,61
利於,71,66
其次,71,63
光收,71,55
中長,71,65
一周,71,49
限制,70,41
都將,70,65
觀看,70,66
股連,70,62
縮減,70,55
立委,70,39
程度,70,60
科等,70,67
盤跌,70,63
止穩,70,58
業獲,70,48
本月,70,59
會再,70,67
新廠,70,46
放量,70,55
措施,70,61
微軟,70,40
幅最,70,53
對美,70,59
台南,70,40
及其,70,55
前年,70,50
出爐,70,66
光的,70,61
僅有,70,63
依然,70,65
作為,70,62
人機,70,43
之際,70,65
主題,70,45
高水,69,62
驗證,69,49
領軍,69,65
電預,69,62
長線,69,56
都不,69,63
選後,69,47
資及,69,55
行股,69,60
能會,69,65
綠色,69,36
等國,69,65
盤重,69,65
的前,69,59
為國,69,62
期新,69,56
望在,69,62
更有,69,58
是中,69,67
年單,69,44
幅也,69,54
市股,69,40
實質,69,50
實力,69,55
密切,69,62
參訪,69,34
原油,69,60
動率,69,40
估第,69,58
下的,69,66
上修,69,51
雙雄,68,49
開法,68,61
金收,68,30
購併,68,34
評價,68,51
訊號,68,53
自行,68,56
股期,68,45
股受,68,66
缺乏,68,58
組產,68,33
站回,68,61
確實,68,57
港股,68,56
欣銓,68,17
次高,68,51
未含,68,23
望第,68,60
是連,68,58
擴張,68,49
所表,68,43
微電,68,25
很大,68,60
平板,68,55
就職,68,37
少數,68,60
天表,68,66
塑膠,68,65
單日,68,51
吃緊,68,48
及新,68,63
前在,68,66
停板,68,57
低檔,68,57
不高,68,64
點後,67,60
體矽,67,48
降到,67,55
量將,67,57
遞延,67,52
進展,67,63
辦法,67,59
資上,67,51
計劃,67,60
親自,67,55
衝上,67,61
行業,67,49
落至,67,54
華邦,67,32
與日,67,56
能持,67,63
股重,67,65
股將,67,60
股基,67,40
為中,67,65
滿載,67,52
減緩,67,62
板廠,67,59
有更,67,61
月下,67,59
時也,67,64
於大,67,61
摩爾,67,38
年經,67,47
工的,67,57
將由,67,63
在現,67,63
周二,67,47
名單,67,44
勁揚,67,64
再加,67,63
介於,67,51
人看,67,64
不只,67,62
不一,67,59
高雄,66,33
韓元,66,23
長蔡,66,58
量增,66,57
視為,66,62
股近,66,62
股收,66,61
股再,66,60
者的,66,57
盤的,66,62
的廠,66,50
的利,66,64
率可,66,58
機的,66,63
標普,66,46
望今,66,61
智財,66,38
昨夜,66,60
明日,66,51
既有,66,53
收入,66,46
拓展,66,61
悲觀,66,54
循環,66,44
引進,66,50
建築,66,34
幅前,66,34
對中,66,49
大成,66,60
增資,66,39
在電,66,64
午盤,66,46
化股,66,64
則有,66,65
價上,66,63
體晶,65,50
體及,65,60
間的,65,61
退場,65,51
試產,65,54
行銷,65,35
良率,65,55
股不,65,62
美商,65,41
續買,65,59
盤開,65,61
產的,65,62
現強,65,61
演說,65,41
江蘇,65,29
民眾,65,43
有很,65,58
有大,65,61
會表,65,53
拉升,65,61
後段,65,53
建宏,65,25
年有,65,61
幅都,65,57
將與,65,55
在經,65,58
商務,65,37
唯一,65,61
否則,65,62
各種,65,54
及半,65,57
力旺,65,19
八大,65,55
低階,65,49
交流,65,44
也同,65,64
主導,65,52
一樣,65,56
一些,65,56
體權,64,39
避免,64,55
變成,64,47
計買,64,58
處長,64,56
與新,64,55
考慮,64,51
結的,64,54
程中,64,55
科大,64,25
監事,64,46
牧德,64,9
望持,64,64
更為,64,58
旗艦,64,47
於新,64,59
幅下,64,54
專案,64,46
如此,64,58
合理,64,54
千億,64,52
也要,64,57
不易,64,58
不但,64,58
龐大,63,60
高股,63,49
體驗,63,31
體營,63,60
轉趨,63,56
貶值,63,51
薪資,63,33
落後,63,54
與產,63,59
股配,63,46
股相,63,61
股獲,63,44
範圍,63,60
等相,63,59
盤之,63,57
率達,63,54
機種,63,52
業營,63,48
期結,63,55
幅逾,63,55
家庭,63,43
奇景,63,10
報酬,63,47
吋廠,63,26
取代,63,53
參考,63,56
加強,63,47
保險,63,45
佳的,63,61
休市,63,50
主計,63,32
一的,63,51
一方,63,46
進而,62,59
連袂,62,49
貿聯,62,23
變動,62,60
計總,62,31
聯合,62,52
矽谷,62,38
的動,62,60
的上,62,58
現為,62,53
獨家,62,46
牌的,62,55
況下,62,61
期台,62,60
暫停,62,39
日經,62,46
日將,62,56
新藥,62,31
持高,62,57
成熟,62,53
得台,62,54
展出,62,41
對高,62,57
容易,62,55
北市,62,30
動產,62,51
分鐘,62,53
共有,62,55
元至,62,53
任董,62,25
任何,62,56
他們,62,39
也讓,62,55
並非,62,59
願意,61,52
邏輯,61,50
距離,61,56
計處,61,46
要角,61,56
能與,61,57
群表,61,49
網站,61,45
第四,61,52
確保,61,54
的外,61,60
淨損,61,22
業在,61,52
本的,61,56
本業,61,40
本國,61,23
期將,61,59
會決,61,52
會不,61,55
晶電,61,52
是今,61,56
是不,61,55
於日,61,59
放緩,61,53
情勢,61,50
度重,61,53
屬於,61,57
屆時,61,58
季可,61,59
季出,61,57
大於,61,52
大數,61,48
在期,61,56
在下,61,59
八成,61,57
人氣,61,55
不要,61,55
一成,61,50
量大,60,54
跌近,60,46
起來,60,50
資通,60,43
融資,60,37
處分,60,32
肯定,60,52
缺口,60,45
續在,60,55
的預,60,57
的日,60,54
申報,60,29
率也,60,58
然而,60,53
永豐,60,46
業競,60,51
有新,60,49
日下,60,56
於下,60,56
新聞,60,48
數為,60,40
摩根,60,47
戶的,60,52
年產,60,50
年整,60,54
場觀,60,54
基地,60,43
向下,60,57
勞動,60,28
加大,60,49
創今,60,55
到台,60,55
出售,60,41
典禮,60,40
光等,60,57
值為,60,54
並將,60,59
零件,59,50
難以,59,54
金流,59,50
認列,59,51
訊產,59,51
股成,59,55
績優,59,46
科廠,59,42
目的,59,54
流入,59,41
業與,59,51
有成,59,50
有多,59,54
會計,59,36
時程,59,54
是以,59,58
收黑,59,51
收低,59,41
憂心,59,53
情形,59,53
後來,59,48
年起,59,50
年年,59,56
學院,59,32
天盤,59,54
回歸,59,49
商的,59,54
和大,59,54
台商,59,23
升到,59,54
利達,59,51
出具,59,57
出來,59,50
公會,59,36
先的,59,55
低價,59,54
也表,59,56
主委,59,44
黨產,58,7
點以,58,53
電和,58,52
陽光,58,21
關的,58,55
長劉,58,57
選前,58,48
連三,58,51
通信,58,44
追價,58,54
轉虧,58,50
見到,58,55
股領,58,50
股則,58,56
聯貸,58,17
總處,58,27
線之,58,51
給予,58,51
看多,58,53
看來,58,57
瑞耘,58,11
現較,58,58
法規,58,42
業用,58,32
業上,58,54
案的,58,57
本次,58,43
期下,58,53
是為,58,51
數百,58,48
數在,58,57
搭載,58,49
授權,58,48
成分,58,36
廠區,58,45
崛起,58,50
對日,58,47
家登,58,14
定案,58,48
守住,58,50
國防,58,36
及陸,58,45
及國,58,54
共識,58,47
元收,58,48
供給,58,46
企圖,58,54
上任,58,43
顯見,57,47
電產,57,40
重心,57,53
配息,57,38
部投,57,41
轉弱,57,52
超級,57,43
購與,57,44
資台,57,48
股等,57,56
股反,57,51
而台,57,53
終止,57,46
筆電,57,38
的那,57,57
的漲,57,55
的專,57,44
理黃,57,56
為大,57,51
法國,57,50
橡膠,57,50
板產,57,44
月產,57,44
暫時,57,51
明專,57,14
拿下,57,52
手中,57,50
建廠,57,41
年最,57,50
市調,57,49
展覽,57,38
專家,57,47
如今,57,53
大半,57,41
場人,57,26
國公,57,44
固態,57,30
品組,57,52
務長,57,53
加快,57,52
力守,57,46
作上,57,53
他指,57,46
仍以,57,54
中漲,57,48
下旬,57,51
下探,57,54
體類,56,50
青年,56,19
電昨,56,44
還要,56,49
責任,56,35
自主,56,52
續下,56,50
環宇,56,11
狹幅,56,44
清華,56,28
業是,56,51
業投,56,48
業之,56,42
日宣,56,56
新投,56,52
新任,56,32
效果,56,52
收漲,56,38
接班,56,15
意味,56,53
已在,56,52
將來,56,48
實習,56,12
富士,56,26
學校,56,32
天的,56,52
大同,56,13
增至,56,47
場買,56,50
均成,56,33
在這,56,50
周邊,56,47
勢不,56,54
入台,56,49
優先,56,47
依序,56,46
仍不,56,54
主動,56,48
中秋,56,31
中場,56,42
體供,55,49
難度,55,49
過台,55,51
進駐,55,43
進的,55,50
退出,55,34
資投,55,31
衝破,55,45
荷蘭,55,23
股后,55,48
職缺,55,24
聯詠,55,29
總體,55,41
線充,55,11
累積,55,44
等三,55,51
的狀,55,51
的原,55,52
的價,55,49
界預,55,53
生物,55,42
況不,55,50
步走,55,53
業將,55,43
業外,55,51
會提,55,47
是有,55,51
春節,55,48
擔憂,55,51
才是,55,48
成以,55,47
志聖,55,3
年大,55,50
年出,55,37
就有,55,49
尋求,55,51
封關,55,25
威脅,55,47
場也,55,53
場中,55,50
在上,55,54
儒鴻,55,46
值的,55,49
保證,55,30
併案,55,32
交大,55,20
二個,55,48
不應,55,51
電也,54,49
金的,54,45
過度,54,48
較低,54,51
軟銀,54,17
要看,54,47
要留,54,46
義大,54,42
統的,54,50
策會,54,35
等人,54,46
相比,54,51
的領,54,48
的財,54,49
的數,54,43
的出,54,43
漲約,54,49
機殼,54,32
有三,54,51
會對,54,53
最好,54,49
新設,54,29
持下,54,51
急殺,54,37
往上,54,46
廠聯,54,49
年高,54,48
展示,54,39
大投,54,47
國市,54,51
回流,54,51
單晶,54,40
升高,54,52
區的,54,47
務業,54,39
加劇,54,49
候選,54,28
以往,54,49
二次,54,37
二季,54,28
也開,54,51
並且,54,48
電類,53,34
院士,53,12
長陳,53,51
那麼,53,48
造紙,53,52
迅速,53,50
辦理,53,45
跨入,53,42
財產,53,32
與半,53,51
群聯,53,36
總部,53,40
統產,53,43
絕對,53,41
精神,53,43
空的,53,53
科股,53,34
的政,53,42
的強,53,48
生的,53,49
溫和,53,43
淨值,53,32
涵蓋,53,46
期減,53,41
更好,53,50
是由,53,53
擺脫,53,50
所得,53,32
很好,53,42
度下,53,49
對抗,53,45
將帶,53,51
審慎,53,47
場總,53,26
在地,53,47
名的,53,40
台星,53,6
可提,53,45
到美,53,53
分之,53,39
出籠,53,51
其所,53,51
共計,53,47
但隨,53,51
代理,53,38
他也,53,45
也相,53,50
主持,53,52
不論,53,51
三成,53,47
高速,52,44
電站,52,19
電南,52,33
雖有,52,46
院院,52,40
長假,52,42
量的,52,46
邁進,52,49
這一,52,47
輝達,52,27
資安,52,9
資大,52,50
計在,52,43
葉倫,52,39
落實,52,42
能發,52,26
能是,52,44
股及,52,48
綠電,52,6
約在,52,44
等於,52,45
的法,52,44
的整,52,47
的效,52,49
的就,52,45
的商,52,42
由紅,52,47
片的,52,45
滲透,52,42
液晶,52,38
治理,52,22
正向,52,42
業達,52,37
本預,52,28
期在,52,50
望成,52,50
月成,52,43
更高,52,48
昇陽,52,34
日韓,52,51
日止,52,46
日早,52,47
思考,52,45
彈性,52,43
年多,52,45
平衡,52,48
已於,52,50
展訊,52,22
局的,52,49
對象,52,43
定位,52,39
存在,52,49
契機,52,46
地方,52,42
參展,52,27
原則,52,42
則為,52,51
利表,52,47
利成,52,49
內的,52,46
光今,52,47
備的,52,39
估的,52,43
主軸,52,44
中大,52,44
飆漲,51,44
銷量,51,35
適合,51,41
連假,51,41
逢低,51,47
近來,51,51
轉單,51,32
走出,51,45
資今,51,49
表達,51,44
萬人,51,40
華泰,51,9
航太,51,29
股新,51,49
續進,51,46
繳出,51,50
約為,51,40
等領,51,47
等都,51,46
研討,51,23
益為,51,33
的變,51,46
的能,51,46
的太,51,36
的供,51,44
濃厚,51,48
淨空,51,32
民國,51,37
歐元,51,38
期內,51,48
會理,51,43
最為,51,50
新科,51,35
新世,51,27
整的,51,46
收益,51,42
摩台,51,39
推估,51,48
所致,51,42
必要,51,49
差異,51,43
對第,51,45
學合,51,28
大部,51,47
大至,51,47
大台,51,38
場大,51,50
培育,51,34
台郡,51,49
升台,51,46
匯損,51,45
加薪,51,10
劇烈,51,48
到新,51,51
價開,51,45
傑出,51,33
供貨,51,38
低成,51,47
但也,51,49
仍然,51,45
一線,51,45
體報,50,46
重跌,50,38
部份,50,46
還沒,50,43
這也,50,48
較佳,50,48
資昨,50,47
謝金,50,18
計賣,50,38
臻鼎,50,41
致力,50,43
股持,50,49
股以,50,47
統當,50,43
的訂,50,47
的行,50,48
的相,50,48
的優,50,44
現方,50,47
氛圍,50,47
比率,50,36
機出,50,37
有高,50,45
更大,50,47
時表,50,50
於外,50,48
數也,50,48
應可,50,49
心態,50,45
度上,50,47
尾聲,50,42
將大,50,45
將再,50,49
容量,50,35
季報,50,38
域的,50,50
均價,50,27
因而,50,49
各界,50,42
及產,50,49
及日,50,46
區域,50,39
勢必,50,48
分股,50,30
元成,50,36
以外,50,45
仍會,50,47
五成,50,38
也能,50,42
也出,50,47
不明,50,47
台積電,4337,1736
半導體,3690,1670
日月光,1462,388
新台幣,1089,823
大立光,915,584
太陽能,910,233
聯發科,852,406
億美元,843,347
董事長,835,536
投資人,811,493
體產業,683,392
下半年,674,399
供應鏈,668,439
權值股,601,432
月營收,491,270
台股今,489,390
成交量,485,322
毛利率,478,278
有機會,475,361
金融股,474,331
漢微科,452,118
矽晶圓,443,197
物聯網,439,259
零組件,436,304
分析師,432,327
上半年,422,274
台指期,420,216
經濟部,417,215
年同期,414,248
總經理,400,313
處理器,392,180
記憶體,385,193
法說會,383,270
英特爾,378,149
較去年,366,244
歷史新,365,248
股表現,352,264
季營收,350,236
指數上,338,172
宏達電,330,210
晶圓廠,317,211
環球晶,313,62
電子股,308,232
張忠謀,306,145
蘋概股,297,210
股指數,296,197
華亞科,289,78
成交值,288,234
市占率,285,186
智慧手,284,153
供應商,284,187
交易日,283,230
進一步,281,257
股今日,281,200
指數下,277,144
基本面,262,194
季業績,259,166
代工廠,258,209
體設備,255,126
今年第,251,186
股今天,250,170
系外資,250,66
法人預,246,179
市場預,246,203
智慧型,244,165
富邦金,242,212
概念股,241,183
點大關,235,184
製造業,231,109
公平會,228,64
蔡英文,223,99
董事會,223,134
淨多單,223,144
年營收,222,154
指數收,220,131
球晶圓,218,61
金額為,217,122
經理人,217,158
該公司,215,166
創新高,215,169
國泰金,214,194
聯準會,212,162
執行長,212,168
去年第,210,138
出貨量,210,141
產業的,209,160
吋晶圓,208,115
季營運,202,141
中小型,200,125
競爭力,198,156
新政府,198,113
工研院,198,83
在台灣,197,142
指數漲,195,110
高紀錄,194,131
業指數,194,182
股東會,193,120
機器人,193,72
櫃公司,192,114
成長率,189,115
機晶片,188,123
台灣的,185,122
現金股,184,119
中華電,184,153
南亞科,183,69
子公司,182,120
成長動,181,159
價指數,179,155
股方面,178,140
如預期,178,157
電子產,176,137
科技股,176,129
百分點,175,112
年成長,175,128
於預期,173,149
委員會,171,116
創歷史,171,138
大漲逾,170,126
美國聯,169,148
上周五,169,119
營收為,168,117
原物料,168,126
上市櫃,168,111
殖利率,167,121
台股在,167,150
業發展,166,128
季財報,166,133
新產品,165,126
來新高,165,128
不確定,164,140
今日開,163,111
中信金,163,107
市場的,161,134
光集團,161,73
利用率,160,97
外資買,158,134
歐美股,157,133
年營運,157,119
投審會,155,51
大指數,155,143
前十大,154,95
主要是,154,138
電董事,153,138
盤面上,153,113
小型股,152,104
中美晶,152,56
是台灣,151,119
家公司,151,95
公司的,150,106
自動化,149,89
稅後淨,147,96
年以來,147,121
將持續,147,131
外資在,147,121
證交所,146,71
的個股,146,117
日開盤,145,100
今天開,145,111
月業績,143,80
年增率,143,98
國股市,143,82
人民幣,143,93
自營商,142,94
的影響,142,127
受惠於,142,117
說明會,141,127
的產業,140,113
季成長,140,113
指數跌,137,83
市場成,136,98
於市場,135,113
在全球,135,114
股走勢,133,118
的成長,133,106
技產業,133,102
對台股,133,109
行政院,132,91
點關卡,131,119
帶動下,131,118
與矽品,129,76
民進黨,128,44
月以來,128,107
在平盤,128,108
全球市,128,97
營收將,127,102
科技產,126,101
年全球,126,100
漲幅約,125,62
包括台,125,119
體封測,124,84
類指數,124,28
日公布,123,117
年業績,123,107
林文伯,122,38
天收盤,122,117
顯示器,121,72
終場收,121,89
漲跌幅,121,121
的投資,120,101
業績可,120,83
的公司,119,93
於今年,119,109
封測廠,119,93
元大關,119,98
測設備,118,60
成長的,117,105
高科技,116,92
的情況,116,94
電子束,115,49
的關鍵,114,96
開高走,113,96
續成長,113,103
程技術,113,79
現階段,113,102
郭台銘,112,39
人認為,112,97
計今年,111,102
營收達,111,85
個股為,111,49
的重要,110,102
日股價,110,94
資法人,109,78
貨市場,109,85
本市場,109,64
為台灣,108,86
指數今,108,103
台股開,108,100
今年營,108,85
盤中最,107,104
本益比,107,65
日盤中,107,92
於去年,107,94
感測器,107,58
彭博資,107,106
封測產,107,61
季獲利,107,84
對台灣,106,87
開低走,105,91
股盤中,105,67
分別為,105,86
傳產股,105,94
京元電,105,29
重要的,104,95
生產線,104,68
季每股,104,69
多晶矽,104,49
全球股,104,86
表現不,103,97
盤指數,103,87
的需求,103,91
晶片廠,103,74
手機市,103,77
外資持,103,87
台股上,103,98
元以上,103,93
立法院,102,57
接下來,102,90
電池廠,101,69
重量級,101,90
的技術,101,80
是台股,101,99
年獲利,101,76
吳田玉,101,32
股開盤,100,83
生技股,100,76
比去年,100,79
帶動台,100,93
國民黨,100,31
劉德音,100,47
中市場,100,76
電今年,99,65
金管會,99,55
跌幅約,99,47
維持在,99,92
母公司,99,72
技類股,99,84
年上半,99,79
在中國,99,82
表現相,98,96
消費性,98,86
尤其是,98,88
名個股,98,36
電動車,97,62
的企業,97,77
用電子,97,72
年每股,97,78
工程師,97,48
今年以,97,82
設計業,96,40
的主要,96,90
最大的,96,91
台股短,96,86
電子類,95,58
記者會,94,69
製造商,94,73
技術面,94,88
在美國,94,78
品價格,94,67
以下是,94,94
點開出,93,87
邦科技,93,37
設備廠,93,74
消費者,93,60
機市場,93,72
意的是,93,90
點之上,92,82
財政部,92,55
期現貨,92,80
創歷年,92,48
今日股,92,80
除權息,91,57
的認購,91,58
的發展,91,80
為全球,91,82
智慧機,91,56
資買超,90,80
科技業,90,68
為主的,90,86
業生產,90,25
億元的,90,77
今日盤,90,79
體市場,89,71
源管理,89,56
月出口,89,41
庫存調,89,71
年新高,89,73
幅成長,89,77
各股當,89,89
全球第,89,70
元現金,89,71
以來最,89,73
點作收,88,73
發表會,88,52
季節性,88,75
能見度,87,78
股為主,87,83
的產品,87,76
發展的,87,85
市場對,87,85
天股價,87,80
在今年,87,84
台灣產,87,59
半年線,87,67
億元以,87,80
農曆年,86,69
天公布,86,78
個月來,86,70
他認為,86,67
今天公,86,77
可留意,85,72
以上的,85,79
負成長,84,52
影響台,84,78
年全年,84,68
大客戶,84,71
外資動,84,79
台股的,84,74
點附近,83,76
震盪走,83,74
雙鏡頭,83,52
與台灣,83,65
股早盤,83,73
投資案,83,45
和矽品,83,27
台灣經,83,60
買超台,82,70
級封裝,82,53
明年第,82,66
日舉行,82,76
大類股,82,79
國經濟,82,70
占大盤,82,63
今年全,82,69
股漲跌,81,76
股市今,81,73
股今早,81,52
國泰證,81,50
台股後,81,73
以每股,81,66
主要股,81,74
類股漲,80,73
矽品股,80,35
是全球,80,75
國內外,80,70
含金融,80,57
動台股,80,75
兆豐金,80,71
以來新,80,71
超台股,79,67
調機構,79,76
表現最,79,68
舉行法,79,71
目標價,79,53
的問題,79,64
期成長,79,71
在市場,79,73
人工智,79,41
下歷史,79,71
未來將,78,74
日成交,78,74
新加坡,78,60
大權值,78,71
月新高,77,64
指數開,77,69
在外資,77,74
創下歷,77,69
的表現,76,71
的市場,76,71
產品的,76,65
正成長,76,49
日台股,76,72
恩智浦,76,31
將成為,76,70
周轉率,76,20
交易所,76,72
黑翻紅,75,62
會通過,75,62
封測業,75,52
台灣大,75,54
今天在,75,72
預期第,74,66
預估今,74,69
連續第,74,60
相關產,74,72
目前已,74,68
波段新,74,67
李世光,74,25
在國際,74,64
國際大,74,61
電子業,73,62
能產業,73,49
的營收,73,63
營收可,73,68
會今天,73,61
最後一,73,63
是因為,73,64
指標股,73,59
技術的,73,62
場上漲,73,70
台股也,73,67
今天股,73,66
事長林,73,60
主要因,73,69
不排除,73,68
一度達,73,46
轉投資,72,54
股後市,72,63
結合案,72,35
碼多單,72,44
本季營,72,53
大權證,72,50
股大漲,71,64
盧超群,71,28
的研發,71,51
日表示,71,69
數成長,71,60
據了解,71,64
持續擴,71,61
幣匯率,71,58
來新低,71,61
估今年,71,66
今日台,71,60
體景氣,70,60
體大廠,70,59
電股價,70,61
階智慧,70,55
資持續,70,64
理事長,70,55
普通股,70,39
台股盤,70,58
公布第,70,64
今年新,70,59
預期今,69,62
逾百點,69,63
蘋果新,69,59
的標的,69,65
產品線,69,60
歐公投,69,53
新產業,69,45
新日光,69,45
持續走,69,63
幅超過,69,59
大聯大,69,17
公布的,69,65
光表示,69,39
需求增,68,54
集中在,68,62
連結台,68,49
的機會,68,56
國際資,68,55
台灣證,68,66
股包括,67,60
經營權,67,43
漲幅達,67,57
業獲利,67,45
業景氣,67,54
晶圓產,67,42
宏表示,67,47
台幣匯,67,53
創辦人,67,52
價持續,67,58
今年底,67,54
萬美元,66,37
的經濟,66,55
的晶圓,66,52
營收比,66,54
月來新,66,54
指數一,66,61
外資賣,66,55
台達電,66,53
可能性,66,58
上市股,66,37
體上市,65,38
近年來,65,61
蔡明介,65,31
股市上,65,41
等權值,65,62
研究所,65,52
的目標,65,60
的智慧,65,45
的可能,65,59
檔震盪,65,56
有助於,65,62
季開始,65,61
季稅後,65,53
奈米產,65,47
大股東,65,45
可能會,65,61
伺服器,65,46
開盤後,64,55
金融類,64,61
金融業,64,31
表現可,64,53
盤中跌,64,52
的趨勢,64,58
的美國,64,64
於台灣,64,58
投資的,64,56
季展望,64,54
基金會,64,28
在大陸,64,47
個位數,64,51
仍維持,64,60
股價走,63,54
股上周,63,53
矽智財,63,35
的競爭,63,56
灣證券,63,61
滑落至,63,50
每股淨,63,34
未平倉,63,58
持股比,63,45
在台股,63,60
併購案,63,39
今年將,63,59
今年前,63,48
上漲逾,63,51
體業者,62,56
電今天,62,51
表現優,62,53
華邦電,62,28
股上漲,62,60
簡伯儀,62,39
望今年,62,57
年首季,62,51
年底前,62,54
展望第,62,56
同時也,62,60
今年上,62,49
今天收,62,55
臨時會,61,39
短線上,61,54
相對強,61,57
盤一度,61,57
的產能,61,48
的台灣,61,57
業績將,61,53
有可能,61,58
於中國,61,60
指數大,61,58
工具機,61,38
實驗室,61,39
台北股,61,61
全年營,61,50
一度大,61,56
體經濟,60,44
資賣超,60,51
計買超,60,54
股獲利,60,41
股價也,60,57
稼動率,60,32
科技部,60,23
相對較,60,59
理事會,60,52
月中旬,60,52
最重要,60,55
年經濟,60,40
已連續,60,54
工業局,60,35
塑化股,60,58
在蘋果,60,54
單金額,60,35
可維持,60,52
召開法,60,55
半年的,60,54
創新產,60,42
全球最,60,56
下跌逾,60,49
電路板,59,37
都超過,59,55
要觀察,59,55
自己的,59,50
紡織股,59,52
的營運,59,55
營益率,59,40
沈建宏,59,22
期結算,59,51
有利於,59,56
收盤價,59,57
排名第,59,41
年台灣,59,36
平盤之,59,54
大尺寸,59,37
在去年,59,58
國企業,59,44
台投資,59,28
去年營,59,49
任董事,59,23
今年來,59,53
今天表,59,58
體製造,58,51
股漲幅,58,51
砷化鎵,58,28
百億元,58,42
產業界,58,49
生技醫,58,41
每股配,58,43
會持續,58,51
指數來,58,58
外資期,58,52
半年營,58,48
紅翻黑,57,50
等相關,57,54
等因素,57,55
月升息,57,50
技術與,57,50
所表示,57,33
小尺寸,57,37
大數據,57,45
外資及,57,45
去年底,57,49
一開盤,57,47
預期的,56,50
過程中,56,48
資金額,56,37
能持續,56,53
總統府,56,15
營業額,56,33
止跌回,56,45
樂觀看,56,53
望持續,56,56
會表示,56,44
於美國,56,55
新應用,56,50
收盤時,56,50
持續增,56,52
市政府,56,34
他強調,56,50
今年的,56,53
一度跌,56,52
連結的,55,45
蔡總統,55,20
盤成交,55,50
申請量,55,10
為市場,55,50
為台股,55,54
據統計,55,54
帶來的,55,47
客戶的,55,49
南台灣,55,38
創今年,55,50
入量產,55,45
來最大,55,45
他表示,55,50
一方面,55,39
與台積,54,49
等產業,54,48
看好台,54,46
盤中漲,54,45
的權證,54,39
產品組,54,49
營運成,54,52
營收創,54,47
有不錯,54,48
指數在,54,53
應用於,54,49
年開始,54,48
對中國,54,40
將公布,54,49
季新高,54,33
可望持,54,54
加上台,54,53
前三季,54,32
光指出,54,32
優於上,54,47
以來的,54,48
他指出,54,43
下午舉,54,53
食品股,53,52
預估第,53,45
重挫逾,53,44
速成長,53,50
通訊產,53,45
較上月,53,36
股價一,53,49
續買超,53,47
研究院,53,43
的台股,53,48
營建股,53,49
業競爭,53,44
日宣布,53,53
操作上,53,49
情況下,53,53
息機率,53,48
年整體,53,48
學園區,53,32
場觀望,53,47
單季新,53,33
台灣科,53,45
及美國,53,49
企業的,53,45
龍頭股,52,49
點整數,52,49
高殖利,52,45
陽光電,52,16
資投資,52,28
要客戶,52,46
維持高,52,47
統計處,52,39
管理局,52,26
相較於,52,49
無人機,52,29
於蘋果,52,49
新高價,52,41
新技術,52,42
年可望,52,50
平均成,52,29
幅最大,52,38
市場人,52,22
家廠商,52,42
告指出,52,49
台股周,52,46
台灣美,52,21
台星科,52,5
受影響,52,43
劉坤錫,52,25
再加上,52,48
價下跌,52,43
今年台,52,36
體供應,51,46
雙位數,51,43
階手機,51,43
間震盪,51,47
金額占,51,37
艾克爾,51,13
義大利,51,39
日召開,51,48
年來新,51,46
大跌逾,51,42
外資上,51,36
同期減,51,39
台股昨,51,50
及陸資,51,39
再創新,51,45
公司股,51,43
今日也,51,43
中低階,51,37
面板雙,50,42
關注的,50,49
這樣的,50,45
財務長,50,48
表現較,50,50
股比重,50,39
股基金,50,23
的股票,50,40
的合作,50,40
營收約,50,43
漲幅超,50,44
機銷售,50,44
期今日,50,39
望未來,50,49
成以上,50,43
年景氣,50,45
市場買,50,44
工服務,50,32
大企業,50,24
單月營,50,44
升息機,50,45
千億元,50,42
創波段,50,44
今年首,50,43
並沒有,50,47
合併營收,709,364
中國大陸,678,384
成交金額,650,252
晶圓代工,450,344
奈米製程,363,193
去年同期,354,226
歷史新高,341,232
加權指數,305,267
指數上漲,295,142
每股純益,291,153
智慧手機,272,143
半導體設,267,136
權證市場,250,99
指數下跌,250,125
法人表示,248,210
個交易日,247,202
國際股市,245,196
資本支出,230,148
先進製程,227,168
半導體業,225,167
道瓊工業,207,195
環球晶圓,205,50
市場預期,201,175
經濟成長,199,131
英國脫歐,194,111
台股今天,192,149
那斯達克,190,172
法人指出,186,157
太陽能電,185,80
認售權證,182,86
新高紀錄,180,121
控股公司,177,44
手機晶片,176,115
成長動能,171,151
市場需求,169,132
台股今日,169,140
世界先進,168,56
認購權證,162,76
三大法人,159,98
的半導體,158,131
台股指數,158,119
董事長張,157,151
總統大選,156,117
產業發展,151,115
半導體封,151,98
股台積電,149,143
新興市場,145,98
上市公司,143,96
虛擬實境,142,97
值新台幣,142,141
中小型股,142,97
創歷史新,140,121
優於預期,139,118
台積電今,137,102
稅後淨利,136,90
個百分點,136,83
稅後純益,133,81
今日開盤,132,90
電董事長,131,121
法人預估,131,105
電子產品,130,100
解決方案,128,88
歐美股市,128,114
公開收購,128,41
不如預期,128,115
收購矽品,125,44
矽晶圓廠,122,102
盤中一度,122,111
產業控股,121,32
鴻海集團,119,51
權證成交,118,60
年下半年,118,102
國安基金,118,44
美國總統,116,85
行動裝置,112,76
檢測設備,111,56
台灣企業,111,79
個股表現,111,92
製程技術,109,75
的台積電,109,96
約新台幣,108,93
競爭對手,108,84
台積電第,108,73
紫光集團,107,47
法人預期,107,91
科技產業,106,87
持續成長,106,98
